Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,2,50,0.22373848262261375,0.8709,49.30652173913043,12.33288287465668,0.013255671894508492,0.0007752347368710505,0.14032947485147312,0.05644719092089037,nan,nan,nan,nan,nan,nan,15.107187807542973,
distributed,0,2,70,0.22321474904581334,0.8728,68.93206793206794,19.962366937565296,0.013046568801009965,0.0011081607939379323,0.1337277765154568,0.04705449998638875,nan,nan,nan,nan,nan,nan,15.058171327743489,
distributed,0,2,100,0.22294240187702755,0.874,97.56951102588687,30.42876471732335,0.012745032322178329,0.000800804674680808,0.13277773410950086,0.05792470970135501,nan,nan,nan,nan,nan,nan,14.905796259998763,
distributed,0,3,-1,0.23689488829755487,0.8532,4.205128205128205,1.2949425390404243,0.01330059823293743,0.003522186975115003,0.12809002762924246,0.057015914260675434,26.014688453907542,4.213845092084505,2.7294486842968553,0.4043046745376168,1.7423136277542075,0.38792081318023036,14.79060141618906,
distributed,0,3,1,0.24639235320894864,0.8452,1.0,0.0,0.012818438194893892,0.006748524058507851,0.13345701366084767,0.05608233099969918,nan,nan,nan,nan,nan,nan,15.066371541141384,
distributed,0,3,2,0.23949689025939666,0.8527,1.9880952380952381,0.15157763207911912,0.014285246294842287,0.0052621721678390064,0.1479322526993082,0.05662447863882675,nan,nan,nan,nan,nan,nan,14.978253847932722,
distributed,0,3,3,0.23613963823262168,0.8538,2.9840637450199203,0.30315526415823824,0.014198440171818665,0.004148338129023971,0.13485292085124487,0.06128320431565942,nan,nan,nan,nan,nan,nan,15.013236620215162,
distributed,0,3,5,0.23755014072167757,0.8553,4.978779840848806,0.6362311020216047,0.012931808187234243,0.003331478485026712,0.1315896460757417,0.055417379781772205,nan,nan,nan,nan,nan,nan,15.007355016626057,
distributed,0,3,7,0.24101594355682893,0.8503,6.974137931034483,1.013746349389064,0.012743343625848311,0.002713262607950785,0.13271199688249055,0.049399488432240034,nan,nan,nan,nan,nan,nan,14.969606297160148,
distributed,0,3,10,0.24666460047599836,0.8448,9.96797153024911,1.6421904689366424,0.012707950577019985,0.0027433983308661363,0.13819348485991279,0.04644027365054426,nan,nan,nan,nan,nan,nan,15.233885643383179,
distributed,0,3,20,0.26549750028377445,0.824,19.9501312335958,4.14095399636364,0.013600156466606205,0.0022567882631175477,0.12775373279968374,0.047942504447317166,nan,nan,nan,nan,nan,nan,15.239366898830724,
distributed,0,3,30,0.27931252240172744,0.8119,29.89868891537545,5.2910531803632095,0.013160131236135266,0.0014150144302567085,0.12912775311805885,0.048702260310435674,nan,nan,nan,nan,nan,nan,14.909207032261145,
distributed,0,3,50,0.29636169860911515,0.797,49.788418708240535,10.92482496674508,0.013328294410332783,0.001616608180594109,0.13831498610339354,0.043027466377786525,nan,nan,nan,nan,nan,nan,14.882970645905583,
distributed,0,3,70,0.30282697408892995,0.7914,68.9631425800194,17.076916986095586,0.01282806802295354,0.001180744102252576,0.10952086564540768,0.04954033716257294,nan,nan,nan,nan,nan,nan,14.785073690073965,
distributed,0,3,100,0.3073353681112255,0.786,97.86711930164888,32.042831578303996,0.013053440096014682,0.0007917652134214362,0.15238024219900817,0.03040921744012478,nan,nan,nan,nan,nan,nan,15.084253581121393,
distributed,1,0,-1,0.22317165554669713,0.8723,31.130937098844672,13.722818367399487,0.013453533958941392,0.002308507987575578,0.13037286822672664,0.05376571699590767,7.677482409379773,3.3222332243362818,0.54516731541522,0.0856615979141908,0.1833827579322566,0.1366455330440333,14.873210033520467,
distributed,1,0,1,0.24628458055044505,0.8438,1.0,0.0,0.014495279613563106,0.006867116944062392,0.13045260129243194,0.04799593489025876,nan,nan,nan,nan,nan,nan,14.929631733317489,
distributed,1,0,2,0.23398945419875022,0.8562,1.9893617021276595,0.1435598073366932,0.013189662618658749,0.00527070746083648,0.1338560723666415,0.05548607153588617,nan,nan,nan,nan,nan,nan,15.19191964957692,
distributed,1,0,3,0.22988528617726725,0.8606,2.9846153846153847,0.29806538746827277,0.01248656458138095,0.0035313456700468144,0.1324394192079157,0.056911579056039455,nan,nan,nan,nan,nan,nan,14.91070835555812,
distributed,1,0,5,0.2267646128822668,0.8663,4.978201634877384,0.6444291185917106,0.013383117893944814,0.003289657298966468,0.13264226582153107,0.050195225104880455,nan,nan,nan,nan,nan,nan,14.894821884362807,
distributed,1,0,7,0.22500341214002587,0.8707,6.97489539748954,0.9995917534020515,0.013370491523258391,0.0030027789797075623,0.1277082482686854,0.05883323725175274,nan,nan,nan,nan,nan,nan,15.239489719832122,
